C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_44_896.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_44_896.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_44_896.jpg, 0, 0.0579984, 0, 0.001129011
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_44_997.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_44_997.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_44_997.jpg, 0, 0.3606627, 0, 0.3144764
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_45_097.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_45_097.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_45_097.jpg, 0, 0.6619616, 0, 0.9511902
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_45_198.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_45_198.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_45_198.jpg, 0, 0.9651939, 0, 1.922999
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_45_298.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_45_298.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_45_298.jpg, 0, 1, 0, 3.077947
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_45_399.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_45_399.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_45_399.jpg, 0, 1, 0, 4.249679
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_45_501.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_45_501.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_45_501.jpg, 0, 1, 0, 5.644201
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_45_602.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_45_602.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_45_602.jpg, 0, 1, 0, 6.794007
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_45_705.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_45_705.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_45_705.jpg, -0.3093888, 1, 0, 7.910494
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_45_806.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_45_806.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_45_806.jpg, -0.2980869, 1, 0, 9.005871
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_45_907.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_45_907.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_45_907.jpg, 0, 1, 0, 10.11907
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_46_011.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_46_011.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_46_011.jpg, 0, 1, 0, 11.22099
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_46_112.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_46_112.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_46_112.jpg, 0, 1, 0, 12.35574
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_46_214.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_46_214.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_46_214.jpg, -0.160908, 1, 0, 13.34515
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_46_314.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_46_314.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_46_314.jpg, -0.251334, 1, 0, 14.43575
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_46_414.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_46_414.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_46_414.jpg, 0, 1, 0, 15.4241
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_46_515.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_46_515.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_46_515.jpg, 0, 0.7360321, 0, 16.39944
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_46_620.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_46_620.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_46_620.jpg, -0.093138, 0.436615, 0, 16.854
C:\Projects\SelfDrivingCar\myData\IMG\center_2025_12_21_20_29_46_723.jpg, C:\Projects\SelfDrivingCar\myData\IMG\left_2025_12_21_20_29_46_723.jpg, C:\Projects\SelfDrivingCar\myData\IMG\right_2025_12_21_20_29_46_723.jpg, -0.3191566, 0.07552808, 0, 16.92615
